TimeStamp,GazePointXLeft,GazePointYLeft,ValidityLeft,GazePointXRight,GazePointYRight,ValidityRight,GazePointX,GazePointY,PupilSizeLeft,PupilValidityLeft,PupilSizeRight,PupilValidityRight,PupilSize
-210.5,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
-193.8,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
-163.9,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
-147.2,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
-113.1,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
-96.5,-41.0,-287.0,1,-34.0,-202.0,1,-37.5,-244.5,3.0434,1,2.6504,1,2.8469
-79.8,-13.0,-273.0,1,2.0,-193.0,1,-5.5,-233.0,3.0808,1,2.7521,1,2.9165
-63.2,-17.0,-260.0,1,6.0,-176.0,1,-5.5,-218.0,3.1477,1,2.8093,1,2.9785
-46.5,-31.0,-239.0,1,-27.0,-144.0,1,-29.0,-191.5,3.2456,1,2.889,1,3.0673
-29.8,-18.0,-239.0,1,-18.0,-150.0,1,-18.0,-194.5,3.3064,1,2.9447,1,3.1255
-13.2,-25.0,-236.0,1,-21.0,-148.0,1,-23.0,-192.0,3.3239,1,2.9542,1,3.1391
3.5,-31.0,-223.0,1,-19.0,-132.0,1,-25.0,-177.5,3.3401,1,2.962,1,3.151
20.2,-27.0,-229.0,1,-2.0,-168.0,1,-14.5,-198.5,3.3529,1,2.9854,1,3.1691
36.8,-29.0,-229.0,1,-10.0,-165.0,1,-19.5,-197.0,3.37,1,3.0085,1,3.1892
53.5,-33.0,-219.0,1,-21.0,-154.0,1,-27.0,-186.5,3.3781,1,3.0075,1,3.1928
70.1,-5.0,-206.0,1,24.0,-187.0,1,9.5,-196.5,3.4193,1,3.0422,1,3.2308
86.8,3.0,-200.0,1,81.0,-206.0,1,42.0,-203.0,3.4685,1,3.0877,1,3.2781
103.4,8.0,-195.0,1,76.0,-199.0,1,42.0,-197.0,3.4824,1,3.0819,1,3.2822
120.1,1.0,-192.0,1,76.0,-207.0,1,38.5,-199.5,3.4822,1,3.0844,1,3.2833
136.7,-9.0,-197.0,1,73.0,-206.0,1,32.0,-201.5,3.4907,1,3.1074,1,3.299
153.4,-12.0,-196.0,1,66.0,-196.0,1,27.0,-196.0,3.4969,1,3.1113,1,3.3041
170.0,-7.0,-194.0,1,69.0,-200.0,1,31.0,-197.0,3.5003,1,3.1122,1,3.3062
186.7,-1.0,-191.0,1,75.0,-205.0,1,37.0,-198.0,3.5114,1,3.1124,1,3.3119
203.3,-0.0,-197.0,1,82.0,-212.0,1,41.0,-204.5,3.5182,1,3.1394,1,3.3288
220.0,-6.0,-210.0,1,95.0,-202.0,1,44.5,-206.0,3.5202,1,3.1437,1,3.3319
236.6,-7.0,-204.0,1,89.0,-195.0,1,41.0,-199.5,3.5284,1,3.1476,1,3.338
253.3,-8.0,-193.0,1,79.0,-192.0,1,35.5,-192.5,3.5256,1,3.1467,1,3.3361
270.0,-10.0,-192.0,1,79.0,-196.0,1,34.5,-194.0,3.533,1,3.1551,1,3.344
286.6,-4.0,-199.0,1,74.0,-209.0,1,35.0,-204.0,3.5472,1,3.1774,1,3.3623
303.3,-10.0,-203.0,1,78.0,-212.0,1,34.0,-207.5,3.5533,1,3.1875,1,3.3704
319.9,-20.0,-199.0,1,89.0,-218.0,1,34.5,-208.5,3.5559,1,3.1912,1,3.3735
336.6,-97.0,-158.0,1,14.0,-178.0,1,-41.5,-168.0,3.5892,1,3.202,1,3.3956
353.2,-144.0,-139.0,1,-97.0,-130.0,1,-120.5,-134.5,3.571,1,3.1239,1,3.3475
369.9,-637.0,217.0,1,-527.0,207.0,1,-582.0,212.0,3.4636,1,3.1133,1,3.2884
386.5,-632.0,221.0,1,-529.0,232.0,1,-580.5,226.5,3.5294,1,3.1684,1,3.3489
403.2,-616.0,223.0,1,-534.0,235.0,1,-575.0,229.0,3.5375,1,3.1678,1,3.3526
419.8,-595.0,205.0,1,-537.0,219.0,1,-566.0,212.0,3.5235,1,3.1766,1,3.3501
436.5,-589.0,197.0,1,-543.0,225.0,1,-566.0,211.0,3.5213,1,3.1792,1,3.3502
453.2,-586.0,208.0,1,-548.0,237.0,1,-567.0,222.5,3.5479,1,3.167,1,3.3575
469.8,-588.0,207.0,1,-550.0,237.0,1,-569.0,222.0,3.5577,1,3.1707,1,3.3642
486.5,-596.0,203.0,1,-548.0,225.0,1,-572.0,214.0,3.5753,1,3.1672,1,3.3712
503.1,-597.0,201.0,1,-546.0,224.0,1,-571.5,212.5,3.5909,1,3.1805,1,3.3857
519.8,-635.0,215.0,1,-606.0,268.0,1,-620.5,241.5,3.5806,1,3.1946,1,3.3876
536.4,-688.0,289.0,1,-653.0,321.0,1,-670.5,305.0,3.5732,1,3.19,1,3.3816
553.1,-715.0,352.0,1,-720.0,383.0,1,-717.5,367.5,3.5198,1,3.1429,1,3.3314
569.7,-691.0,318.0,1,-720.0,390.0,1,-705.5,354.0,3.53,1,3.1411,1,3.3356
586.4,-685.0,317.0,1,-672.0,384.0,1,-678.5,350.5,3.5938,1,3.1832,1,3.3885
603.0,-687.0,329.0,1,-671.0,387.0,1,-679.0,358.0,3.5863,1,3.182,1,3.3842
619.7,-695.0,328.0,1,-642.0,349.0,1,-668.5,338.5,3.5711,1,3.1216,1,3.3463
636.4,-686.0,321.0,1,-672.0,362.0,1,-679.0,341.5,3.575,1,3.0849,1,3.3299
653.0,-683.0,326.0,1,-697.0,400.0,1,-690.0,363.0,3.5669,1,3.1543,1,3.3606
669.7,-688.0,320.0,1,-699.0,401.0,1,-693.5,360.5,3.5722,1,3.1536,1,3.3629
686.3,-691.0,317.0,1,-710.0,409.0,1,-700.5,363.0,3.5918,1,3.161,1,3.3764
703.0,-690.0,324.0,1,-707.0,406.0,1,-698.5,365.0,3.5776,1,3.1734,1,3.3755
719.6,-688.0,313.0,1,-707.0,403.0,1,-697.5,358.0,3.5763,1,3.1552,1,3.3658
736.3,-688.0,315.0,1,-707.0,406.0,1,-697.5,360.5,3.5919,1,3.1501,1,3.371
752.9,-685.0,326.0,1,-706.0,398.0,1,-695.5,362.0,3.607,1,3.1651,1,3.3861
769.6,-689.0,328.0,1,-713.0,398.0,1,-701.0,363.0,3.621,1,3.1648,1,3.3929
786.3,-699.0,334.0,1,-720.0,410.0,1,-709.5,372.0,3.62,1,3.1693,1,3.3946
802.9,-699.0,340.0,1,-713.0,410.0,1,-706.0,375.0,3.6207,1,3.1713,1,3.396
819.6,-703.0,342.0,1,-698.0,405.0,1,-700.5,373.5,3.638,1,3.1853,1,3.4116
836.2,-705.0,340.0,1,-694.0,410.0,1,-699.5,375.0,3.6531,1,3.195,1,3.424
852.9,-709.0,339.0,1,-705.0,421.0,1,-707.0,380.0,3.6538,1,3.1935,1,3.4236
869.5,-713.0,340.0,1,-708.0,421.0,1,-710.5,380.5,3.6566,1,3.1989,1,3.4277
886.2,-705.0,349.0,1,-671.0,374.0,1,-688.0,361.5,3.595,1,3.1324,1,3.3637
902.8,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
919.5,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
936.1,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
952.8,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
969.5,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
986.1,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
1002.8,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
1019.4,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
1036.1,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
1052.7,-1032.0,-415.0,1,-904.0,-218.0,1,-968.0,-316.5,1.9812,1,1.8375,1,1.9093
1069.4,-1032.0,-415.0,1,-904.0,-218.0,1,-968.0,-316.5,1.9812,1,1.8375,1,1.9093
1086.0,nan,nan,0,-871.0,148.0,1,-871.0,148.0,nan,0,2.6712,1,2.6712
1102.7,nan,nan,0,-868.0,184.0,1,-868.0,184.0,nan,0,2.6987,1,2.6987
1119.4,-859.0,234.0,1,-861.0,253.0,1,-860.0,243.5,3.4789,1,2.7506,1,3.1147
1136.0,-777.0,248.0,1,-659.0,334.0,1,-718.0,291.0,3.5376,1,3.1987,1,3.3682
1152.7,-711.0,302.0,1,-663.0,418.0,1,-687.0,360.0,3.7147,1,3.3394,1,3.5271
1169.3,-722.0,332.0,1,-663.0,420.0,1,-692.5,376.0,3.7407,1,3.3455,1,3.5431
1186.0,-715.0,361.0,1,-655.0,339.0,1,-685.0,350.0,3.778,1,3.2518,1,3.5149
1202.6,-717.0,364.0,1,-650.0,342.0,1,-683.5,353.0,3.7699,1,3.2408,1,3.5053
1219.3,-715.0,312.0,1,-672.0,366.0,1,-693.5,339.0,3.7028,1,3.2365,1,3.4697
1235.9,-715.0,301.0,1,-663.0,356.0,1,-689.0,328.5,3.7114,1,3.2349,1,3.4732
1252.6,-707.0,310.0,1,-646.0,347.0,1,-676.5,328.5,3.7195,1,3.2525,1,3.486
1269.3,-713.0,319.0,1,-651.0,352.0,1,-682.0,335.5,3.6921,1,3.2389,1,3.4655
1285.9,-703.0,315.0,1,-669.0,342.0,1,-686.0,328.5,3.6757,1,3.2269,1,3.4513
1302.6,-689.0,309.0,1,-685.0,340.0,1,-687.0,324.5,3.6792,1,3.2264,1,3.4528
1319.2,-701.0,314.0,1,-672.0,345.0,1,-686.5,329.5,3.6743,1,3.2198,1,3.447
1335.9,-697.0,325.0,1,-647.0,360.0,1,-672.0,342.5,3.676,1,3.2234,1,3.4497
1352.5,-689.0,341.0,1,-646.0,385.0,1,-667.5,363.0,3.6721,1,3.222,1,3.4471
1369.2,-682.0,348.0,1,-660.0,390.0,1,-671.0,369.0,3.6719,1,3.222,1,3.447
1385.8,-682.0,356.0,1,-670.0,393.0,1,-676.0,374.5,3.6809,1,3.2253,1,3.4531
1402.5,-682.0,346.0,1,-668.0,381.0,1,-675.0,363.5,3.6875,1,3.2199,1,3.4537
1419.1,-686.0,338.0,1,-657.0,370.0,1,-671.5,354.0,3.6833,1,3.2207,1,3.452
1435.8,-692.0,347.0,1,-654.0,373.0,1,-673.0,360.0,3.6828,1,3.223,1,3.4529
1452.5,-688.0,351.0,1,-651.0,366.0,1,-669.5,358.5,3.6874,1,3.2256,1,3.4565
1469.1,-685.0,349.0,1,-655.0,362.0,1,-670.0,355.5,3.6861,1,3.2273,1,3.4567
1485.8,-689.0,353.0,1,-655.0,369.0,1,-672.0,361.0,3.6831,1,3.2314,1,3.4572
1502.4,-689.0,352.0,1,-657.0,363.0,1,-673.0,357.5,3.682,1,3.2341,1,3.458
1519.1,-680.0,347.0,1,-651.0,367.0,1,-665.5,357.0,3.6967,1,3.2252,1,3.4609
1535.7,-680.0,345.0,1,-648.0,380.0,1,-664.0,362.5,3.7014,1,3.2239,1,3.4626
1552.4,-679.0,350.0,1,-649.0,369.0,1,-664.0,359.5,3.6862,1,3.1931,1,3.4396
1569.0,-686.0,364.0,1,-644.0,356.0,1,-665.0,360.0,3.67,1,3.1958,1,3.4329
1585.7,-690.0,360.0,1,-644.0,369.0,1,-667.0,364.5,3.6649,1,3.2071,1,3.436
1602.3,-688.0,359.0,1,-650.0,381.0,1,-669.0,370.0,3.6703,1,3.1939,1,3.4321
1619.0,-698.0,365.0,1,-654.0,394.0,1,-676.0,379.5,3.6629,1,3.1725,1,3.4177
1635.7,-697.0,366.0,1,-654.0,396.0,1,-675.5,381.0,3.6446,1,3.1678,1,3.4062
1652.3,-687.0,367.0,1,-659.0,372.0,1,-673.0,369.5,3.6385,1,3.167,1,3.4027
1669.0,-685.0,365.0,1,-657.0,366.0,1,-671.0,365.5,3.6427,1,3.17,1,3.4064
1685.6,-686.0,367.0,1,-638.0,362.0,1,-662.0,364.5,3.6362,1,3.1773,1,3.4067
1702.3,-687.0,369.0,1,-643.0,377.0,1,-665.0,373.0,3.6245,1,3.1623,1,3.3934
1718.9,-689.0,359.0,1,-635.0,384.0,1,-662.0,371.5,3.6189,1,3.1405,1,3.3797
1735.6,-686.0,360.0,1,-634.0,377.0,1,-660.0,368.5,3.6195,1,3.1465,1,3.383
1752.2,-691.0,365.0,1,-643.0,379.0,1,-667.0,372.0,3.6272,1,3.1453,1,3.3863
1768.9,-692.0,359.0,1,-648.0,376.0,1,-670.0,367.5,3.624,1,3.1512,1,3.3876
1785.5,-690.0,366.0,1,-658.0,388.0,1,-674.0,377.0,3.6049,1,3.1528,1,3.3789
1802.2,-688.0,373.0,1,-657.0,392.0,1,-672.5,382.5,3.5944,1,3.1328,1,3.3636
1818.9,-688.0,371.0,1,-669.0,384.0,1,-678.5,377.5,3.5838,1,3.1287,1,3.3563
1835.5,-691.0,373.0,1,-663.0,382.0,1,-677.0,377.5,3.5798,1,3.1343,1,3.3571
1852.2,-694.0,367.0,1,-634.0,372.0,1,-664.0,369.5,3.5726,1,3.1297,1,3.3511
1868.8,-696.0,361.0,1,-639.0,375.0,1,-667.5,368.0,3.5575,1,3.1146,1,3.3361
1885.5,-697.0,368.0,1,-650.0,374.0,1,-673.5,371.0,3.5556,1,3.1071,1,3.3313
1902.1,-692.0,379.0,1,-644.0,364.0,1,-668.0,371.5,3.5551,1,3.1233,1,3.3392
1918.8,-692.0,383.0,1,-646.0,401.0,1,-669.0,392.0,3.5492,1,3.1129,1,3.3311
1935.4,-695.0,373.0,1,-655.0,413.0,1,-675.0,393.0,3.5428,1,3.0974,1,3.3201
1952.1,-700.0,363.0,1,-635.0,408.0,1,-667.5,385.5,3.5299,1,3.0689,1,3.2994
1968.8,-693.0,363.0,1,-625.0,393.0,1,-659.0,378.0,3.5218,1,3.067,1,3.2944
1985.4,-688.0,370.0,1,-680.0,402.0,1,-684.0,386.0,3.5175,1,3.0846,1,3.3011
2002.1,-697.0,373.0,1,-691.0,407.0,1,-694.0,390.0,3.5076,1,3.0803,1,3.294
2018.7,-696.0,372.0,1,-649.0,370.0,1,-672.5,371.0,3.5159,1,3.0655,1,3.2907
2035.4,-697.0,375.0,1,-639.0,375.0,1,-668.0,375.0,3.5154,1,3.0713,1,3.2933
2052.0,-698.0,363.0,1,-644.0,382.0,1,-671.0,372.5,3.5084,1,3.0874,1,3.2979
2068.7,-700.0,360.0,1,-654.0,377.0,1,-677.0,368.5,3.5107,1,3.0899,1,3.3003
2085.3,-713.0,366.0,1,-641.0,373.0,1,-677.0,369.5,3.5167,1,3.0624,1,3.2895
2102.0,-711.0,361.0,1,-636.0,377.0,1,-673.5,369.0,3.5232,1,3.0629,1,3.293
2118.6,-701.0,362.0,1,-649.0,386.0,1,-675.0,374.0,3.5226,1,3.0635,1,3.2931
2135.3,-704.0,365.0,1,-646.0,391.0,1,-675.0,378.0,3.5171,1,3.0601,1,3.2886
2152.0,-715.0,376.0,1,-657.0,399.0,1,-686.0,387.5,3.5132,1,3.0921,1,3.3026
2168.6,-712.0,375.0,1,-660.0,402.0,1,-686.0,388.5,3.5218,1,3.091,1,3.3064
2185.3,-706.0,375.0,1,-639.0,397.0,1,-672.5,386.0,3.5237,1,3.0533,1,3.2885
2201.9,-703.0,382.0,1,-640.0,397.0,1,-671.5,389.5,3.5184,1,3.0389,1,3.2787
2218.6,-702.0,380.0,1,-646.0,413.0,1,-674.0,396.5,3.5258,1,3.0466,1,3.2862
2235.2,-708.0,378.0,1,-646.0,413.0,1,-677.0,395.5,3.5324,1,3.0453,1,3.2888
2251.9,-707.0,385.0,1,-656.0,404.0,1,-681.5,394.5,3.5259,1,3.0757,1,3.3008
2268.5,-708.0,372.0,1,-651.0,393.0,1,-679.5,382.5,3.5232,1,3.0831,1,3.3032
2285.2,-706.0,358.0,1,-626.0,385.0,1,-666.0,371.5,3.5335,1,3.0625,1,3.298
2301.9,-707.0,368.0,1,-635.0,395.0,1,-671.0,381.5,3.5276,1,3.055,1,3.2913
2318.5,-716.0,372.0,1,-664.0,379.0,1,-690.0,375.5,3.5221,1,3.0522,1,3.2872
2335.2,-715.0,367.0,1,-662.0,375.0,1,-688.5,371.0,3.5326,1,3.0568,1,3.2947
2351.8,-715.0,376.0,1,-650.0,368.0,1,-682.5,372.0,3.5289,1,3.0503,1,3.2896
2368.5,-714.0,382.0,1,-651.0,365.0,1,-682.5,373.5,3.5246,1,3.0566,1,3.2906
2385.1,-712.0,371.0,1,-659.0,372.0,1,-685.5,371.5,3.5264,1,3.063,1,3.2947
2401.8,-719.0,370.0,1,-654.0,368.0,1,-686.5,369.0,3.5142,1,3.0627,1,3.2884
2418.4,-720.0,360.0,1,-644.0,357.0,1,-682.0,358.5,3.5143,1,3.0607,1,3.2875
2435.1,-710.0,354.0,1,-651.0,355.0,1,-680.5,354.5,3.5182,1,3.0579,1,3.288
2451.7,-709.0,366.0,1,-638.0,349.0,1,-673.5,357.5,3.5199,1,3.07,1,3.295
2468.4,-717.0,378.0,1,-628.0,343.0,1,-672.5,360.5,3.5197,1,3.0829,1,3.3013
2485.1,-714.0,372.0,1,-646.0,357.0,1,-680.0,364.5,3.5212,1,3.084,1,3.3026
2501.7,-709.0,366.0,1,-652.0,357.0,1,-680.5,361.5,3.5257,1,3.0789,1,3.3023
2518.4,-704.0,370.0,1,-625.0,350.0,1,-664.5,360.0,3.5266,1,3.0647,1,3.2957
2535.0,-713.0,378.0,1,-622.0,347.0,1,-667.5,362.5,3.5298,1,3.0711,1,3.3004
2551.7,-719.0,375.0,1,-652.0,353.0,1,-685.5,364.0,3.5256,1,3.0781,1,3.3018
2568.3,-711.0,369.0,1,-661.0,363.0,1,-686.0,366.0,3.5329,1,3.0806,1,3.3067
2585.0,-714.0,374.0,1,-660.0,372.0,1,-687.0,373.0,3.5434,1,3.103,1,3.3232
2601.6,-722.0,380.0,1,-650.0,368.0,1,-686.0,374.0,3.546,1,3.1047,1,3.3254
2618.3,-725.0,368.0,1,-659.0,373.0,1,-692.0,370.5,3.5561,1,3.1121,1,3.3341
2634.9,-719.0,357.0,1,-665.0,373.0,1,-692.0,365.0,3.5637,1,3.1152,1,3.3394
2651.6,-715.0,363.0,1,-665.0,367.0,1,-690.0,365.0,3.5605,1,3.114,1,3.3372
2668.3,-711.0,357.0,1,-666.0,366.0,1,-688.5,361.5,3.5674,1,3.1129,1,3.3402
2684.9,-703.0,346.0,1,-651.0,363.0,1,-677.0,354.5,3.5759,1,3.1179,1,3.3469
2701.6,-705.0,347.0,1,-650.0,359.0,1,-677.5,353.0,3.5789,1,3.1305,1,3.3547
2718.2,-710.0,358.0,1,-666.0,361.0,1,-688.0,359.5,3.5861,1,3.1348,1,3.3605
2734.9,-712.0,361.0,1,-667.0,362.0,1,-689.5,361.5,3.58,1,3.1337,1,3.3568
2751.5,-712.0,354.0,1,-660.0,353.0,1,-686.0,353.5,3.5928,1,3.1529,1,3.3729
2768.2,-703.0,346.0,1,-667.0,357.0,1,-685.0,351.5,3.6082,1,3.1472,1,3.3777
2784.8,-714.0,346.0,1,-665.0,361.0,1,-689.5,353.5,3.5955,1,3.138,1,3.3668
2801.5,-719.0,349.0,1,-658.0,362.0,1,-688.5,355.5,3.593,1,3.1387,1,3.3659
2818.2,-713.0,351.0,1,-675.0,362.0,1,-694.0,356.5,3.6075,1,3.1435,1,3.3755
2834.8,-707.0,342.0,1,-672.0,360.0,1,-689.5,351.0,3.6114,1,3.1505,1,3.3809
2851.5,-706.0,344.0,1,-659.0,369.0,1,-682.5,356.5,3.6032,1,3.1544,1,3.3788
2868.1,-712.0,359.0,1,-654.0,368.0,1,-683.0,363.5,3.5942,1,3.153,1,3.3736
2884.8,-717.0,358.0,1,-638.0,365.0,1,-677.5,361.5,3.5881,1,3.1318,1,3.36
2901.4,-713.0,353.0,1,-643.0,359.0,1,-678.0,356.0,3.5914,1,3.1275,1,3.3594
2918.1,-707.0,349.0,1,-652.0,345.0,1,-679.5,347.0,3.6032,1,3.1342,1,3.3687
2934.7,-708.0,345.0,1,-652.0,345.0,1,-680.0,345.0,3.5954,1,3.1364,1,3.3659
2951.4,-710.0,349.0,1,-645.0,342.0,1,-677.5,345.5,3.5763,1,3.126,1,3.3512
2968.0,-707.0,352.0,1,-645.0,345.0,1,-676.0,348.5,3.578,1,3.1238,1,3.3509
2984.7,-709.0,344.0,1,-646.0,355.0,1,-677.5,349.5,3.5723,1,3.1222,1,3.3473
3001.4,-719.0,255.0,1,-642.0,262.0,1,-680.5,258.5,3.5973,1,3.1292,1,3.3633
3018.0,-717.0,136.0,1,-635.0,118.0,1,-676.0,127.0,3.5528,1,3.1063,1,3.3296
3034.7,-762.0,-326.0,1,-642.0,-313.0,1,-702.0,-319.5,3.4917,1,3.1028,1,3.2972
3051.3,-763.0,-343.0,1,-649.0,-306.0,1,-706.0,-324.5,3.556,1,3.1496,1,3.3528
3068.0,-738.0,-366.0,1,-630.0,-325.0,1,-684.0,-345.5,3.5762,1,3.1469,1,3.3616
3084.6,-746.0,-371.0,1,-643.0,-312.0,1,-694.5,-341.5,3.5694,1,3.136,1,3.3527
3101.3,-746.0,-371.0,1,-642.0,-310.0,1,-694.0,-340.5,3.573,1,3.1393,1,3.3562
3117.9,-745.0,-373.0,1,-640.0,-311.0,1,-692.5,-342.0,3.5732,1,3.1453,1,3.3592
3134.6,-751.0,-370.0,1,-645.0,-310.0,1,-698.0,-340.0,3.5608,1,3.1422,1,3.3515
3151.3,-742.0,-368.0,1,-644.0,-304.0,1,-693.0,-336.0,3.5624,1,3.1388,1,3.3506
3167.9,-740.0,-370.0,1,-643.0,-305.0,1,-691.5,-337.5,3.5636,1,3.1421,1,3.3528
3184.6,-731.0,-373.0,1,-644.0,-306.0,1,-687.5,-339.5,3.5619,1,3.1401,1,3.351
3201.2,-741.0,-366.0,1,-646.0,-300.0,1,-693.5,-333.0,3.5506,1,3.1431,1,3.3468
3217.9,-749.0,-364.0,1,-644.0,-308.0,1,-696.5,-336.0,3.5487,1,3.1464,1,3.3475
3234.5,-739.0,-378.0,1,-637.0,-315.0,1,-688.0,-346.5,3.56,1,3.1367,1,3.3484
3251.2,-744.0,-378.0,1,-628.0,-315.0,1,-686.0,-346.5,3.5574,1,3.1339,1,3.3456
3267.8,-758.0,-359.0,1,-628.0,-311.0,1,-693.0,-335.0,3.5236,1,3.1272,1,3.3254
3284.5,-745.0,-360.0,1,-630.0,-308.0,1,-687.5,-334.0,3.5179,1,3.1151,1,3.3165
3301.1,-738.0,-357.0,1,-618.0,-306.0,1,-678.0,-331.5,3.5139,1,3.1042,1,3.3091
3317.8,-736.0,-354.0,1,-604.0,-301.0,1,-670.0,-327.5,3.4997,1,3.0837,1,3.2917
3334.5,-730.0,-352.0,1,-611.0,-287.0,1,-670.5,-319.5,3.4873,1,3.067,1,3.2771
3351.1,-729.0,-355.0,1,-617.0,-287.0,1,-673.0,-321.0,3.4646,1,3.0648,1,3.2647
3367.8,-726.0,-358.0,1,-613.0,-291.0,1,-669.5,-324.5,3.456,1,3.0515,1,3.2537
3384.4,-716.0,-356.0,1,-606.0,-300.0,1,-661.0,-328.0,3.4515,1,3.0364,1,3.244
3401.1,-725.0,-350.0,1,-606.0,-300.0,1,-665.5,-325.0,3.4266,1,3.0365,1,3.2315
3417.7,-712.0,-350.0,1,-601.0,-314.0,1,-656.5,-332.0,3.4178,1,3.0344,1,3.2261
3434.4,-710.0,-345.0,1,-604.0,-318.0,1,-657.0,-331.5,3.4241,1,3.0307,1,3.2274
3451.0,-725.0,-341.0,1,-607.0,-316.0,1,-666.0,-328.5,3.41,1,3.0396,1,3.2248
3467.7,-720.0,-342.0,1,-609.0,-318.0,1,-664.5,-330.0,3.4079,1,3.0314,1,3.2196
3484.4,-717.0,-340.0,1,-610.0,-327.0,1,-663.5,-333.5,3.4082,1,3.0282,1,3.2182
3501.0,-718.0,-340.0,1,-611.0,-328.0,1,-664.5,-334.0,3.4025,1,3.0296,1,3.216
3517.7,-727.0,-341.0,1,-600.0,-331.0,1,-663.5,-336.0,3.398,1,3.0223,1,3.2102
3534.3,-727.0,-340.0,1,-605.0,-326.0,1,-666.0,-333.0,3.4018,1,3.0195,1,3.2106
3551.0,-727.0,-343.0,1,-603.0,-325.0,1,-665.0,-334.0,3.4154,1,3.0146,1,3.215
3567.6,-724.0,-347.0,1,-598.0,-330.0,1,-661.0,-338.5,3.4203,1,3.0174,1,3.2189
3584.3,-730.0,-341.0,1,-595.0,-327.0,1,-662.5,-334.0,3.4155,1,3.0215,1,3.2185
3600.9,-736.0,-340.0,1,-599.0,-322.0,1,-667.5,-331.0,3.4079,1,3.014,1,3.2109
3617.6,-741.0,-341.0,1,-602.0,-331.0,1,-671.5,-336.0,3.3943,1,2.9995,1,3.1969
3634.2,-731.0,-343.0,1,-604.0,-329.0,1,-667.5,-336.0,3.4141,1,2.9948,1,3.2044
3650.9,-730.0,-341.0,1,-612.0,-324.0,1,-671.0,-332.5,3.4181,1,2.9892,1,3.2036
3667.6,-738.0,-343.0,1,-618.0,-327.0,1,-678.0,-335.0,3.4041,1,2.989,1,3.1966
3684.2,-735.0,-340.0,1,-615.0,-324.0,1,-675.0,-332.0,3.4006,1,3.0024,1,3.2015
3700.9,-735.0,-340.0,1,-611.0,-320.0,1,-673.0,-330.0,3.3949,1,2.998,1,3.1964
3717.5,-735.0,-340.0,1,-614.0,-322.0,1,-674.5,-331.0,3.3958,1,2.9957,1,3.1958
3734.2,-742.0,-336.0,1,-605.0,-327.0,1,-673.5,-331.5,3.3905,1,3.0055,1,3.198
3750.8,-741.0,-340.0,1,-605.0,-329.0,1,-673.0,-334.5,3.4038,1,2.9977,1,3.2008
3767.5,-739.0,-339.0,1,-611.0,-324.0,1,-675.0,-331.5,3.4035,1,2.995,1,3.1993
3784.1,-734.0,-347.0,1,-609.0,-331.0,1,-671.5,-339.0,3.3963,1,2.9872,1,3.1918
3800.8,-729.0,-351.0,1,-601.0,-333.0,1,-665.0,-342.0,3.4102,1,2.9986,1,3.2044
3817.5,-726.0,-351.0,1,-589.0,-334.0,1,-657.5,-342.5,3.4146,1,3.0126,1,3.2136
3834.1,-730.0,-353.0,1,-595.0,-330.0,1,-662.5,-341.5,3.4134,1,3.0035,1,3.2085
3850.8,-740.0,-353.0,1,-601.0,-315.0,1,-670.5,-334.0,3.4274,1,2.9934,1,3.2104
3867.4,-741.0,-357.0,1,-603.0,-312.0,1,-672.0,-334.5,3.4281,1,2.9908,1,3.2095
3884.1,-731.0,-399.0,1,-615.0,-299.0,1,-673.0,-349.0,3.3369,1,2.9934,1,3.1651
3900.7,-739.0,-440.0,1,-624.0,-277.0,1,-681.5,-358.5,3.3245,1,3.0351,1,3.1798
3917.4,nan,nan,0,-607.0,-240.0,1,-607.0,-240.0,nan,0,3.0252,1,3.0252
3934.0,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
3950.7,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
3967.4,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
3984.0,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
4000.7,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
4017.3,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
4034.0,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
4050.6,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
4067.3,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
4083.9,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
4100.6,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0,nan
